username,usercomment
腾讯用户146842155215678,好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看
qzuser40159537,孟贱人真贱
腾讯用户1474093821258466,电视剧比电影的演员颜值高
缺氧的鱼21725494,在……在梦里
蓝冰薄荷86569898,没错
腾讯用户1472024391779910,帅死我了
腾讯用户147270250211830,什么时候
微信用户1474093538073506,好看
优酷用户1467894144153183,30
优酷用户1467894144153183,真的假的，在哪儿？
优酷用户1473592916373309,[苏兄爱你]
腾讯用户1468748045768714,贝微微演游戏里面的人不好看
腾讯用户1474092929111590,在哪？
九灵玄天,这广告时间没谁了
腾讯用户1472899671983205,我昨天看见杨洋了！偶遇！偶遇！我昨天看见杨洋了
如果爱别走开23988617,看第二遍了[稀饭][稀饭][稀饭][稀饭][稀饭][稀饭][稀饭]
珊瑚草59134465,请问这集里讲视频故事情节时的歌叫什么名字啊？
土豆用户_847854240,qq1430168027
优酷用户1472023571435291,我也是
优酷用户1472023571435291,你行你演
你是唯一爽,这部电视剧。因为有你。才这么红，因为有你才这么美好，因为有你我看了一遍又一遍，郑爽，这都是因为你，加油永远支持你
腾讯用户1468920097884820,真希望他们俩在现实生活中也是情侣
土豆用户_387103728,杨洋的耳朵怎么红了一半🌚
腾讯用户1474074635816735,[裘球_萌萌哒][雷婷_女王][裘球_机智]
晴天般的微笑51584526,人品啊！居然没有广告！
腾讯用户1471096401653528,我的额头冒充警察
junwang926,我从来不开会员的为了这部电视我都开会员了，简直爱死杨洋了！
微信用户1470302172800299,尴尬…
微信用户1472548041717925,我从来不开会员的为了这陪电视我都开会员了，简直爱死小爽杨洋了
微信用户1468818823793239,郑爽太瘦了  像麻秆一样！头大身体小！！
追风浪子03791913,好像是
微信用户1472824091431121,又来看一遍，不知道现在看啥好～
微信用户147402295802371,杨洋好帅
商85020936,(ㅍ_ㅍ)
微信用户1473254828449961,很好看郑爽和杨洋配合的非常好，让整个剧情很完美！
倪悦69840051,好
倪悦69840051,佷好看。微微和肖奈很般配。郎才女貌。
腾讯用户1467182359502736,你三点就在看了，也是醉了。
腾讯用户1474016421649395,大爱杨洋
腾讯用户1473998796038288,哇
腾讯用户1472437998503511,大神说话好有范儿[牛]
腾讯用户1472146031010169,人品啊 居然只有40秒
-丑小鸭40881569,多希望热巴姐也来演青春偶像剧
优酷用户1472231659200307,我是原著党，电影电视剧我都看过，很不错，很厉害
腾讯用户1467221154644465,再怎么帅 站人家面前拍也太有病了吧 这个地方演的有点夸张了
优酷用户1470843884247431,讨厌曹光和孟逸然
来日却在无方长,妈的，就是让你去玩游戏，这个电视剧为游戏打广告的
微信用户6192463446140167,爽多吃点吧
腾讯用户1472437998503511,杨洋太帅了[稀饭]
腾讯用户1471824203458449,好看好看[小猪卖萌][小猪卖萌][小猪卖萌]
优酷用户1472659004564362,杨洋因这剧火了
腾讯用户1470007851800122,男一女一好恩爱，在一起的时候一点坎坷都没有
亲聆謦謦,天天都要看，陷进去了，[稀饭]无法自拔。
腾讯用户1472146031010169,走不出来呀 都播完这么久了还在回味
腾讯用户1465615206588656,你喜欢看广告啊
微信用户6192463446140167,死广告
微信用户6192463446140167,尼玛
微信用户6192463446140167,呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃
腾讯用户1472178655983832,嗯
微信用户6192463446140167,呃呃呃呃呃呃呃呃呃呃呃呃呃呃
微信用户1474043165983612,广告真tmd长
微信用户6192463446140167,呃呃呃呃呃呃呃呃
优酷用户1461408821367557,迷死了！！！
土豆用户_710944290,中毒太深啦！喜欢这部电视剧，小爽和杨洋真的号般配！在一起 在一起！这简直是虐死单身狗的节奏！
a65136767,广告好，顺便休息眼睛。
土豆用户_375277524,好看
优酷用户1473994422780967,喜欢这种轻松的甜蜜爱情剧，很暖心！希望有续集！不过瘾！
微信用户1474042223138947,贝微微什么时候跳舞了
腾讯用户1474042183086422,第二次来看了，这是我看过最好看的电视，杨洋好帅，郑爽好美，他俩好配[稀饭][稀饭][稀饭][稀饭][稀饭]
优酷用户1472968302435730,广告已经那么长了，能不能别插播广告了
优酷用户1473994422780967,为了这部电视剧，我简直是疯了！已经第二遍在看了，还特意开通会员，为的是跳过广告！太好看了！
土豆用户_860197858,讨厌曹光
微信用户1473485825817671,看了三遍了，就是看不够[稀饭][稀饭]
Jeanne31336241,广告要不要再长点
土豆用户_860197858,爱你……杨洋
优酷用户1472968302435730,第三遍
最想看到你乔美人_462515435,肖大神肖大神，已中毒，太甜了虐狗呀
优酷用户1473063610282284,支持父亲的无聊课堂 这理由 找的 哈哈哈套路啊
优酷用户1473063610282284,肖奈的不仅智商高而且情商高~
腾讯用户1469772894420646,广告时间能在长点吗？简直了！
土豆用户_711895478,其实演技什么的都好，只是古装服装不好，对于男女主角都是不合身的#郑爽##郑爽微微生日快乐#
优酷手机用户_amy08hy4,我也是
优酷用户1473063610282284,被深爱的人伤害 也许是因为爱的缘故 这也太=  =虐！
优酷用户1473063610282284,什么啊 全剧唯一的遗憾污点！好吧这是游戏里的视频不是剧里的情节= =
腾讯用户147355599576921,好希望有第二季，而且还是杨洋和郑爽！
