salary_min,description,title,salary_max,applications,page_number,location,published,link,found,id
20000.0,"  Graduate Software Developer –  Python  / Java   Bangor , North Wales   £22,000 + Benefits   Role Overview:  A Graduate Software Developer is required by a leading international finance software house based in Bangor, North Wales. The Graduate Software Developer will be responsible for developing software...","Software Developer - Python/Java - Bangor, Gwynedd - £22k",22000.0,7,2,Bangor,2014-12-11T00:00:00,http://www.reed.co.uk/jobs/software-developer-python-java-bangor-gwynedd-22k/26187506#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.572629,26187506
30000.0," Organisation Description  An opportunity has arisen for a talented multi-disciplined programmer to join my International market leading client The team you will join are developing and supporting multiple websites, aimed at both desktop and mobile devices. They are in the process of a major platform...","Programmer ( Perl, PHP, Python, Ruby, Javascript)",40000.0,10,2,Birmingham,2014-12-11T00:00:00,http://www.reed.co.uk/jobs/programmer--perl-php-python-ruby-javascript/25848889#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.575815,25848889
30000.0," Position: Linux SysAdmin / DevOps Engineer  Location: Clerkenwell, London  Reporting to: CTO Job Type: Permanent   Our technology team is a great place to work. Full of ideas and innovation, it needs similarly creative minds to help carry on the startling progress already made. We are looking for people...",Python Developer,150000.0,1,2,London,2014-12-23T21:54:37.578070,http://www.reed.co.uk/jobs/python-developer/26243073#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.578434,26243073
96000.0," Architect, Big Data, Hadoop,  Python , Java, C++, AWS, Big Data, Linux  My exclusive client are recruiting for a strong Big Data / Software Architect contractor in Manchester.  You must have strong experience of Architecture and previous experience of Architecting, Designing & Developing Big Data platforms...","Big Data & Software Architect - Hadoop, Java, Python",120000.0,1,2,Manchester,2014-12-11T00:00:00,http://www.reed.co.uk/jobs/big-data-software-architect-hadoop-java-python/26186963#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.580719,26186963
30000.0,"  POSITION:  Python  Developer   LOCATION: Central London   TYPE OF ROLE: Permanent   SALARY: £30,000-40,000 p/a  A leading global digital agency are looking to expand their team with a talented Developer who is well-versed, but not limited to, the use of  Python . They are looking not just for a developer...",Python Developer,40000.0,2,2,London,2014-12-11T00:00:00,http://www.reed.co.uk/jobs/python-developer/26186811#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.582954,26186811
40000.0,"  URGENT SEEKING  PYTHON  DEVELOPERS    Python  Developers - Central London- Up to £60k DOE  Our client, a fast growing development Company based in the heart of London City Centre are looking for experienced  Python  Developers with Django knowledge to join their web development team. Due to rapid growth they...",Python Developer - Django - London Upto £60k DOE,60000.0,0,2,London,2014-12-23T21:54:37.584875,http://www.reed.co.uk/jobs/python-developer-django-london-upto-60k-doe/26242630#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.585236,26242630
,"A highly successful international media firm is looking to recruit a proven Lead Web Developer with  Python  and PHP development skills. The successful candidate will operate from their offices in the London Bridge area, Central London, and as part of the Digital team will be responsible for developing...",PHP / Python - Global Media firm,,5,2,London,2014-12-10T00:00:00,http://www.reed.co.uk/jobs/php-python-global-media-firm/26186035#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.587437,26186035
40000.0,"  URGENT SEEKING  PYTHON  DEVELOPERS    Python  Developers - Central London- Up to £60k DOE  Our client, a fast growing development Company based in the heart of London City Centre are looking for experienced  Python  Developers with Django knowledge to join their web development team. Due to rapid growth they...",Python Developer - Django - London Upto £60k DOE,60000.0,2,2,London,2014-12-10T00:00:00,http://www.reed.co.uk/jobs/python-developer-django-london-upto-60k-doe/26178640#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.589588,26178640
30000.0,"  Senior  Python  / Django Developer  Python  | Django | API | JQuery   Location: Bristol   Salary: £30,000 - £60,000  Become part of an award winning exciting digital agency with ambitious and exciting plans for growth and development.  Offering a one of a kind working environment in the heart of Bristol...",Senior Python / Django Developer - Bristol,60000.0,0,2,Bristol,2014-12-11T00:00:00,http://www.reed.co.uk/jobs/senior-python-django-developer-bristol/26193796#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.591844,26193796
35000.0,"Senior Web Developer (JavaScript,  Python , HTML, jQuery) - North Wales - up to £50,000 Commutable from Conwy and Gwynedd  A well-established and innovative global organisation has a new opportunity for an experienced and professional Senior Web Developer to join their growing Development Team.  Working...","Web Developer Python - North Wales - up to £50,000",50000.0,1,2,Wales,2014-12-09T00:00:00,http://www.reed.co.uk/jobs/web-developer-python-north-wales-up-to-50000/26178322#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.594020,26178322
30000.0,"  Software Developer (PHP, Ruby or  Python )  We are seeking a Web or Software Developer with expertise in either PHP, Ruby or  Python  programming to take a lead role in shaping the development environment and products of an early stage technology start-up who have gained funding and grants from various...","Software Developer PHP, Ruby or Python",50000.0,2,2,Bristol,2014-12-07T00:00:00,http://www.reed.co.uk/jobs/software-developer-php-ruby-or-python/26162565#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.596189,26162565
50000.0," We are looking for 4 x Senior  Python  Developers to work for an ecommerce company in Central London, all permanent opportunities.    Python  skills + Flask / Django but other frameworks will be considered....   £50k - £60k + Benefits    ... ",Senior Python Developers,60000.0,2,2,London,2014-12-05T00:00:00,http://www.reed.co.uk/jobs/senior-python-developers/26160209#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.598368,26160209
108000.0,I am currently on the lookout for an experienced  Python /Django Backend Developer who has major experience with  Python /Django. The successful  Python /Django candidate will be working for one of the UK's leading Digital Agencies who has won numerous awards within their industry and prides themselves at being...,Python/Django Backend Developer needed - ASAP - London,115200.0,3,2,London,2014-12-05T00:00:00,http://www.reed.co.uk/jobs/python-django-backend-developer-needed-asap-london/26156187#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.601579,26156187
